Row ID,Order ID,Order Date,Ship Date,Customer Name,Ship Mode,Segment,Country,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit
1,US-2023-103800,01-03-2023,01-07-2023,Darren Powers,Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Bookcases,261.96,2,0.0,41.9136
2,US-2023-112326,01-04-2023,01-08-2023,Phillina Ober,Second Class,Consumer,United States,Henderson,Kentucky,42420,South,Furniture,Chairs,731.94,3,0.0,219.582
3,US-2023-112326,01-04-2023,01-08-2023,Phillina Ober,Second Class,Corporate,United States,Los Angeles,California,90036,West,Office Supplies,Labels,14.62,2,0.0,6.8714
4,US-2023-112326,01-04-2023,01-08-2023,Phillina Ober,Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Furniture,Tables,9999999.0,5,0.45,-383.031
5,US-2023-141817,01-05-2023,01-12-2023,Mick Brown,Standard Class,Consumer,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,22.368,2,0.2,2.5164
7,US-2023-167199,01-06-2023,01-10-2023,Maria Etezadi,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Art,7.28,4,0.0,1.9656
8,US-2023-106054,01-06-2023,01-07-2023,Jack O'Briant,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,907.152,6,0.2,90.7152
9,US-2023-167199,01-06-2023,01-10-2023,Maria Etezadi,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Office Supplies,Binders,18.504,3,0.2,5.7825
11,US-2023-167199,01-06-2023,01-10-2023,Maria Etezadi,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Furniture,Tables,1706.184,9,0.2,85.3092
12,US-2023-130813,01-06-2023,01-08-2023,Lycoris Saunders,Standard Class,Consumer,United States,Los Angeles,California,90032,West,Technology,Phones,911.424,4,0.2,68.3568
13,US-2023-167199,01-06-2023,01-10-2023,Maria Etezadi,Standard Class,Consumer,United States,Concord,North Carolina,28027,South,Office Supplies,Paper,15.552,3,0.2,5.4432
15,US-2023-105417,01-07-2023,01-12-2023,Vivek Sundaresam,Standard Class,Home Office,United States,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,68.81,5,0.8,-123.858
